Year,Quarter,Month,Day,Sum of Sales,forecastValue,confidenceHighBound,confidenceLowBound
2019,Qtr 1,March,1,6285.806,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,3,7264.422,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,4,315.45,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,5,162.344,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,6,811.303,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,7,21.072,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,8,2190.81,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,9,635.6,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,10,7879.734,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,11,896.022,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,12,1694.642,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,13,8866.882,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,14,669.368,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,15,2356.808,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,17,2360.334,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,18,1061.682,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,19,138.68,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,20,928.311,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,21,645.706,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,22,226.468,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,24,745.774,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,25,1346.97,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,26,682.246,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,27,92.7,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,28,125.3,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,29,2659.339,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,30,11.34,Noforecast,Noforecast,Noforecast
2019,Qtr 1,March,31,640.762,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,1,2161.48,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,2,1454.9,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,3,441.198,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,4,970.194,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,5,1046.334,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,6,1294.75,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,7,1970.574,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,8,2906.404,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,9,1115.197,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,10,950.594,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,12,1542.53,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,13,6.12,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,14,1466.572,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,15,2201.856,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,16,9335.086,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,17,421.085,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,18,2514.538,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,19,1414.132,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,21,271.616,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,22,1765.465,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,23,720.368,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,24,1607.1,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,25,108.42,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,26,434.646,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,28,486.672,Noforecast,Noforecast,Noforecast
2019,Qtr 2,April,30,142.208,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,1,517.866,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,2,1098.136,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,3,1099.013,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,5,2701.28,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,6,236.96,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,7,4835.976,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,8,1340.244,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,9,1283.512,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,10,763.02,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,11,5.98,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,12,918.878,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,14,455.93,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,15,648.912,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,16,880.46,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,17,346.922,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,18,122.22,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,19,1582.008,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,20,2471.913,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,21,2718.214,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,22,1799.2,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,23,4560.978,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,24,277.756,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,25,1311.97,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,26,1975.356,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,27,5305.078,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,28,2137.324,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,29,1063.185,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,30,8090.578,Noforecast,Noforecast,Noforecast
2019,Qtr 2,May,31,438.859,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,2,157.844,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,3,71.088,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,4,2316.523,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,5,659.82,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,6,6026.312,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,7,51.562,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,9,1688.472,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,10,1412.396,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,11,1623.416,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,12,2962.563,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,13,430.438,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,14,3457.099,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,15,173.488,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,16,147.275,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,17,3000.92,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,18,541.938,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,19,17.12,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,20,1229.548,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,21,577.108,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,23,2475.094,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,24,5310.952,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,25,893.266,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,26,1919.6,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,27,778.706,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,28,877.156,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,29,191.88,Noforecast,Noforecast,Noforecast
2019,Qtr 2,June,30,1352.95,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,1,1724.376,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,2,772.786,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,3,847.7,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,4,1651.301,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,7,3882.231,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,8,2616.512,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,9,573.286,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,10,895.895,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,12,95.76,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,14,2149.96,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,15,380.2,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,16,910.17,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,17,2184.88,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,18,2891.858,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,19,1536.454,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,20,89.95,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,21,991.095,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,22,1368.048,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,23,654.587,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,24,326.964,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,25,5920.488,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,28,2033.374,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,29,819.154,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,30,1770.776,Noforecast,Noforecast,Noforecast
2019,Qtr 3,July,31,2174.158,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,1,1124.648,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,2,482.584,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,3,248.82,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,4,497.91,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,5,197.05,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,6,320.388,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,7,179.97,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,8,1115.204,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,9,661.354,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,11,151.82,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,12,3951.9605,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,13,731.524,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,14,923.688,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,15,1680.266,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,16,204.54,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,17,15.712,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,18,496.114,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,19,448.792,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,20,14.78,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,21,4798.292,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,22,405.35,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,23,4187.348,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,26,4874.298,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,27,767.911,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,28,322.0248,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,29,632.188,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,30,1656.87,Noforecast,Noforecast,Noforecast
2019,Qtr 3,August,31,23.968,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,1,5766.152,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,2,6792.193,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,3,2365.596,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,4,4532.042,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,5,5226.348,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,6,1313.536,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,8,4493.9836,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,9,84.992,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,10,2094.324,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,11,6501.586,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,12,2043.792,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,13,2374.73,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,14,1137.338,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,15,2101.182,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,16,425.886,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,17,2043.126,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,18,4751.082,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,19,3839.312,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,20,1232.004,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,22,615.57,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,23,1322.145,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,24,2286.05,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,25,3443.091,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,26,2698.1665,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,27,1992.9858,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,28,99.136,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,29,1307.792,Noforecast,Noforecast,Noforecast
2019,Qtr 3,September,30,525.884,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,1,781.414,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,2,1452.972,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,3,1680.696,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,4,5912.782,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,6,830.4,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,7,973.712,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,8,561.536,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,9,546.92,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,10,282.753,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,11,33.064,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,13,1650.618,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,14,3335.888,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,15,1620.15,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,16,142.182,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,17,2953.346,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,18,307.92,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,20,946.174,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,21,7951.592,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,22,188.28,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,23,467.422,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,24,1365.498,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,25,783.96,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,27,978.79,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,28,2899.021,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,29,131.154,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,30,159.002,Noforecast,Noforecast,Noforecast
2019,Qtr 4,October,31,3750.499,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,1,453.374,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,3,3802.796,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,4,3888.818,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,5,4266.8988,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,6,773.256,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,7,3810.464,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,8,993.9,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,9,479.97,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,10,4723.478,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,11,4944.296,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,12,4914.938,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,13,2945.138,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,14,2774.062,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,15,2145.718,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,16,36.72,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,17,142.684,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,18,3958.932,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,19,638.462,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,20,3070.333,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,21,1176.891,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,22,317.044,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,23,100.616,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,24,6394.538,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,25,7978.551,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,26,8329.743,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,27,1651.239,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,28,3428.372,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,29,300.592,Noforecast,Noforecast,Noforecast
2019,Qtr 4,November,30,970.142,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,1,6365.455,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,2,1984.616,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,3,5269.816,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,4,944.286,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,5,4267.004,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,6,3878.276,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,8,3709.095,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,9,1855.483,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,10,3459.71,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,11,6102.25,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,12,1981.115,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,13,1194.088,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,14,828.654,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,15,2637.087,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,16,628.542,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,17,4185.134,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,18,7051.35,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,19,815.112,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,20,134.54,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,22,1043.128,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,23,5065.857,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,24,1938.26,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,25,7488.055,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,26,1829.418,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,27,959.49,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,29,1277.68,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,30,773.774,Noforecast,Noforecast,Noforecast
2019,Qtr 4,December,31,731.768,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,1,2162.828,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,2,2632.554,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,3,2319.272,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,6,147.74,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,7,3742.59,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,8,930.98,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,9,311.491,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,12,1190.52,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,13,4833.33,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,14,2513.038,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,15,2802.28,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,16,6542.292,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,19,2616.715,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,20,1199.838,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,21,3198.643,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,22,4656.372,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,23,965.334,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,24,691.666,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,26,3524.28,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,27,573.914,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,28,1184.52,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,29,1193.842,Noforecast,Noforecast,Noforecast
2020,Qtr 1,January,30,4829.335,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,2,5652.354,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,3,5458.327,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,4,138.67,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,5,4573.012,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,6,1155.354,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,9,3201.764,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,10,2185.103,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,11,3054.516,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,13,2351.43,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,16,2731.442,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,17,3714.8174,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,18,429.326,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,19,2336.59,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,20,4718.29,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,21,973.904,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,23,1632.8,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,24,1619.676,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,25,1006.492,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,26,3270.646,Noforecast,Noforecast,Noforecast
2020,Qtr 1,February,28,1863.62,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,2,2116.126,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,3,2277.104,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,4,715.822,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,5,1817.02,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,6,1631.236,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,7,374.59,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,8,1055.1,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,9,869.804,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,10,1952.952,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,11,2386.708,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,12,499.28,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,13,6049.35,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,14,121.616,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,16,2945.381,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,17,1633.746,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,18,1726.758,Noforecast,Noforecast,Noforecast
2020,Qtr 1,March,19,2996.248,Noforecast,Noforecast,Noforecast
