Sum of Profit,Year,Quarter,Month,Day,forecastValue,confidenceHighBound,confidenceLowBound,,,,,,
18.4318,2019,Qtr 3,August,21,No forecast,No forecast,No forecast,,,,,,
46.673,2019,Qtr 3,August,22,No forecast,No forecast,No forecast,,,,,,
230.8845,2019,Qtr 3,August,23,No forecast,No forecast,No forecast,,,,,,
748.6752,2019,Qtr 3,August,26,No forecast,No forecast,No forecast,,,,,,
196.3329,2019,Qtr 3,August,27,No forecast,No forecast,No forecast,,,,,,
-89.6447,2019,Qtr 3,August,28,No forecast,No forecast,No forecast,,,,,,
-121.177,2019,Qtr 3,August,29,No forecast,No forecast,No forecast,,,,,,
-258.3628,2019,Qtr 3,August,30,No forecast,No forecast,No forecast,,,,,,
2.3968,2019,Qtr 3,August,31,No forecast,No forecast,No forecast,,,,,,
1896.7402,2019,Qtr 3,September,1,No forecast,No forecast,No forecast,,,,,,
750.1167,2019,Qtr 3,September,2,No forecast,No forecast,No forecast,,,,,,
-755.7506,2019,Qtr 3,September,3,No forecast,No forecast,No forecast,,,,,,
1464.5008,2019,Qtr 3,September,4,No forecast,No forecast,No forecast,,,,,,
425.5154,2019,Qtr 3,September,5,No forecast,No forecast,No forecast,,,,,,
204.6418,2019,Qtr 3,September,6,No forecast,No forecast,No forecast,,,,,,
-375.63,2019,Qtr 3,September,8,No forecast,No forecast,No forecast,,,,,,
12.1616,2019,Qtr 3,September,9,No forecast,No forecast,No forecast,,,,,,
250.4304,2019,Qtr 3,September,10,No forecast,No forecast,No forecast,,,,,,
1353.6502,2019,Qtr 3,September,11,No forecast,No forecast,No forecast,,,,,,
452.8074,2019,Qtr 3,September,12,No forecast,No forecast,No forecast,,,,,,
696.2947,2019,Qtr 3,September,13,No forecast,No forecast,No forecast,,,,,,
396.3846,2019,Qtr 3,September,14,No forecast,No forecast,No forecast,,,,,,
601.9099,2019,Qtr 3,September,15,No forecast,No forecast,No forecast,,,,,,
28.4618,2019,Qtr 3,September,16,No forecast,No forecast,No forecast,,,,,,
492.8203,2019,Qtr 3,September,17,No forecast,No forecast,No forecast,,,,,,
359.346,2019,Qtr 3,September,18,No forecast,No forecast,No forecast,,,,,,
936.4,2019,Qtr 3,September,19,No forecast,No forecast,No forecast,,,,,,
377.3806,2019,Qtr 3,September,20,No forecast,No forecast,No forecast,,,,,,
156.2421,2019,Qtr 3,September,22,No forecast,No forecast,No forecast,,,,,,
92.7765,2019,Qtr 3,September,23,No forecast,No forecast,No forecast,,,,,,
-556.9555,2019,Qtr 3,September,24,No forecast,No forecast,No forecast,,,,,,
335.5552,2019,Qtr 3,September,25,No forecast,No forecast,No forecast,,,,,,
-415.5319,2019,Qtr 3,September,26,No forecast,No forecast,No forecast,,,,,,
-88.5602,2019,Qtr 3,September,27,No forecast,No forecast,No forecast,,,,,,
30.98,2019,Qtr 3,September,28,No forecast,No forecast,No forecast,,,,,,
235.4062,2019,Qtr 3,September,29,No forecast,No forecast,No forecast,,,,,,
-29.4366,2019,Qtr 3,September,30,No forecast,No forecast,No forecast,,,,,,
-42.7895,2019,Qtr 4,October,1,No forecast,No forecast,No forecast,,,,,,
8738.7971,2019,Qtr 4,October,2,No forecast,No forecast,No forecast,,,,,,
224.5338,2019,Qtr 4,October,3,No forecast,No forecast,No forecast,,,,,,
2658.3198,2019,Qtr 4,October,4,No forecast,No forecast,No forecast,,,,,,
-947.1071,2019,Qtr 4,October,6,No forecast,No forecast,No forecast,,,,,,
79.408,2019,Qtr 4,October,7,No forecast,No forecast,No forecast,,,,,,
-51.9904,2019,Qtr 4,October,8,No forecast,No forecast,No forecast,,,,,,
-34.4084,2019,Qtr 4,October,9,No forecast,No forecast,No forecast,,,,,,
-219.8989,2019,Qtr 4,October,10,No forecast,No forecast,No forecast,,,,,,
4.133,2019,Qtr 4,October,11,No forecast,No forecast,No forecast,,,,,,
-397.0627,2019,Qtr 4,October,13,No forecast,No forecast,No forecast,,,,,,
981.537,2019,Qtr 4,October,14,No forecast,No forecast,No forecast,,,,,,
598.941,2019,Qtr 4,October,15,No forecast,No forecast,No forecast,,,,,,
-37.9152,2019,Qtr 4,October,16,No forecast,No forecast,No forecast,,,,,,
1160.731,2019,Qtr 4,October,17,No forecast,No forecast,No forecast,,,,,,
-34.641,2019,Qtr 4,October,18,No forecast,No forecast,No forecast,,,,,,
127.6613,2019,Qtr 4,October,20,No forecast,No forecast,No forecast,,,,,,
1763.4706,2019,Qtr 4,October,21,No forecast,No forecast,No forecast,,,,,,
57.2658,2019,Qtr 4,October,22,No forecast,No forecast,No forecast,,,,,,
192.2002,2019,Qtr 4,October,23,No forecast,No forecast,No forecast,,,,,,
314.0359,2019,Qtr 4,October,24,No forecast,No forecast,No forecast,,,,,,
78.396,2019,Qtr 4,October,25,No forecast,No forecast,No forecast,,,,,,
237.815,2019,Qtr 4,October,27,No forecast,No forecast,No forecast,,,,,,
255.0178,2019,Qtr 4,October,28,No forecast,No forecast,No forecast,,,,,,
39.4184,2019,Qtr 4,October,29,No forecast,No forecast,No forecast,,,,,,
46.9478,2019,Qtr 4,October,30,No forecast,No forecast,No forecast,,,,,,
450.3262,2019,Qtr 4,October,31,No forecast,No forecast,No forecast,,,,,,
149.3042,2019,Qtr 4,November,1,No forecast,No forecast,No forecast,,,,,,
696.3602,2019,Qtr 4,November,3,No forecast,No forecast,No forecast,,,,,,
-57.3349,2019,Qtr 4,November,4,No forecast,No forecast,No forecast,,,,,,
62.0551,2019,Qtr 4,November,5,No forecast,No forecast,No forecast,,,,,,
60.8782,2019,Qtr 4,November,6,No forecast,No forecast,No forecast,,,,,,
635.1252,2019,Qtr 4,November,7,No forecast,No forecast,No forecast,,,,,,
261.4956,2019,Qtr 4,November,8,No forecast,No forecast,No forecast,,,,,,
177.5889,2019,Qtr 4,November,9,No forecast,No forecast,No forecast,,,,,,
1081.5284,2019,Qtr 4,November,10,No forecast,No forecast,No forecast,,,,,,
496.0179,2019,Qtr 4,November,11,No forecast,No forecast,No forecast,,,,,,
170.3252,2019,Qtr 4,November,12,No forecast,No forecast,No forecast,,,,,,
789.1702,2019,Qtr 4,November,13,No forecast,No forecast,No forecast,,,,,,
424.111,2019,Qtr 4,November,14,No forecast,No forecast,No forecast,,,,,,
262.9901,2019,Qtr 4,November,15,No forecast,No forecast,No forecast,,,,,,
16.156,2019,Qtr 4,November,16,No forecast,No forecast,No forecast,,,,,,
28.9717,2019,Qtr 4,November,17,No forecast,No forecast,No forecast,,,,,,
781.102,2019,Qtr 4,November,18,No forecast,No forecast,No forecast,,,,,,
111.7505,2019,Qtr 4,November,19,No forecast,No forecast,No forecast,,,,,,
508.7926,2019,Qtr 4,November,20,No forecast,No forecast,No forecast,,,,,,
150.9536,2019,Qtr 4,November,21,No forecast,No forecast,No forecast,,,,,,
80.365,2019,Qtr 4,November,22,No forecast,No forecast,No forecast,,,,,,
18.6496,2019,Qtr 4,November,23,No forecast,No forecast,No forecast,,,,,,
1246.1061,2019,Qtr 4,November,24,No forecast,No forecast,No forecast,,,,,,
-6247.3969,2019,Qtr 4,November,25,No forecast,No forecast,No forecast,,,,,,
1776.8757,2019,Qtr 4,November,26,No forecast,No forecast,No forecast,,,,,,
209.4244,2019,Qtr 4,November,27,No forecast,No forecast,No forecast,,,,,,
320.303,2019,Qtr 4,November,28,No forecast,No forecast,No forecast,,,,,,
-285.9254,2019,Qtr 4,November,29,No forecast,No forecast,No forecast,,,,,,
85.6643,2019,Qtr 4,November,30,No forecast,No forecast,No forecast,,,,,,
1652.8648,2019,Qtr 4,December,1,No forecast,No forecast,No forecast,,,,,,
992.4432,2019,Qtr 4,December,2,No forecast,No forecast,No forecast,,,,,,
1065.8562,2019,Qtr 4,December,3,No forecast,No forecast,No forecast,,,,,,
146.7888,2019,Qtr 4,December,4,No forecast,No forecast,No forecast,,,,,,
1468.7369,2019,Qtr 4,December,5,No forecast,No forecast,No forecast,,,,,,
1017.2351,2019,Qtr 4,December,6,No forecast,No forecast,No forecast,,,,,,
146.9703,2019,Qtr 4,December,8,No forecast,No forecast,No forecast,,,,,,
340.0393,2019,Qtr 4,December,9,No forecast,No forecast,No forecast,,,,,,
1020.2983,2019,Qtr 4,December,10,No forecast,No forecast,No forecast,,,,,,
425.9722,2019,Qtr 4,December,11,No forecast,No forecast,No forecast,,,,,,
482.0632,2019,Qtr 4,December,12,No forecast,No forecast,No forecast,,,,,,
72.1554,2019,Qtr 4,December,13,No forecast,No forecast,No forecast,,,,,,
315.5413,2019,Qtr 4,December,14,No forecast,No forecast,No forecast,,,,,,
27.6186,2019,Qtr 4,December,15,No forecast,No forecast,No forecast,,,,,,
8.4637,2019,Qtr 4,December,16,No forecast,No forecast,No forecast,,,,,,
4653.9969,2019,Qtr 4,December,17,No forecast,No forecast,No forecast,,,,,,
727.4944,2019,Qtr 4,December,18,No forecast,No forecast,No forecast,,,,,,
-251.3853,2019,Qtr 4,December,19,No forecast,No forecast,No forecast,,,,,,
38.5308,2019,Qtr 4,December,20,No forecast,No forecast,No forecast,,,,,,
228.1434,2019,Qtr 4,December,22,No forecast,No forecast,No forecast,,,,,,
1008.2604,2019,Qtr 4,December,23,No forecast,No forecast,No forecast,,,,,,
323.5229,2019,Qtr 4,December,24,No forecast,No forecast,No forecast,,,,,,
1393.3961,2019,Qtr 4,December,25,No forecast,No forecast,No forecast,,,,,,
155.9416,2019,Qtr 4,December,26,No forecast,No forecast,No forecast,,,,,,
16.7586,2019,Qtr 4,December,27,No forecast,No forecast,No forecast,,,,,,
192.4955,2019,Qtr 4,December,29,No forecast,No forecast,No forecast,,,,,,
146.8632,2019,Qtr 4,December,30,No forecast,No forecast,No forecast,,,,,,
68.2435,2019,Qtr 4,December,31,No forecast,No forecast,No forecast,,,,,,
-181.4109,2020,Qtr 1,January,1,No forecast,No forecast,No forecast,,,,,,
-207.0473,2020,Qtr 1,January,2,No forecast,No forecast,No forecast,,,,,,
704.28,2020,Qtr 1,January,3,No forecast,No forecast,No forecast,,,,,,
15.5204,2020,Qtr 1,January,6,No forecast,No forecast,No forecast,,,,,,
758.7192,2020,Qtr 1,January,7,No forecast,No forecast,No forecast,,,,,,
80.3682,2020,Qtr 1,January,8,No forecast,No forecast,No forecast,,,,,,
-228.7425,2020,Qtr 1,January,9,No forecast,No forecast,No forecast,,,,,,
-1101.516,2020,Qtr 1,January,12,No forecast,No forecast,No forecast,,,,,,
206.6524,2020,Qtr 1,January,13,No forecast,No forecast,No forecast,,,,,,
208.8079,2020,Qtr 1,January,14,No forecast,No forecast,No forecast,,,,,,
297.206,2020,Qtr 1,January,15,No forecast,No forecast,No forecast,,,,,,
2595.203,2020,Qtr 1,January,16,No forecast,No forecast,No forecast,,,,,,
55.4043,2020,Qtr 1,January,19,No forecast,No forecast,No forecast,,,,,,
156.032,2020,Qtr 1,January,20,No forecast,No forecast,No forecast,,,,,,
619.2187,2020,Qtr 1,January,21,No forecast,No forecast,No forecast,,,,,,
1461.3511,2020,Qtr 1,January,22,No forecast,No forecast,No forecast,,,,,,
60.55,2020,Qtr 1,January,23,No forecast,No forecast,No forecast,,,,,,
105.0682,2020,Qtr 1,January,24,No forecast,No forecast,No forecast,,,,,,
803.9555,2020,Qtr 1,January,26,No forecast,No forecast,No forecast,,,,,,
1.6239,2020,Qtr 1,January,27,No forecast,No forecast,No forecast,,,,,,
333.8478,2020,Qtr 1,January,28,No forecast,No forecast,No forecast,,,,,,
86.9031,2020,Qtr 1,January,29,No forecast,No forecast,No forecast,,,,,,
308.4441,2020,Qtr 1,January,30,No forecast,No forecast,No forecast,,,,,,
170.677,2020,Qtr 1,February,2,No forecast,No forecast,No forecast,,,,,,
215.57,2020,Qtr 1,February,3,No forecast,No forecast,No forecast,,,,,,
8.4942,2020,Qtr 1,February,4,No forecast,No forecast,No forecast,,,,,,
